2024-06-17 15:48:21,271 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:48:21,278 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:48:21,285 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:35,703 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:35,710 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:35,716 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:41,086 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:41,093 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:41,099 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:44,935 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:44,942 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:44,949 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:46,795 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:46,801 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:46,808 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:48,437 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:48,443 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:48,450 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:50,809 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:50,815 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:50,822 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:54,900 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:54,906 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:54,913 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:56,010 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:56,016 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:56,025 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:57,331 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:57,338 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:57,343 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:59,017 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:59,025 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:49:59,034 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:00,691 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:00,699 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:00,704 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:02,377 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:02,382 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:02,388 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:04,138 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:04,145 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:04,153 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:05,879 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:05,885 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:05,895 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:08,067 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:08,074 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:08,081 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:09,317 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:09,324 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:09,330 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:10,475 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:10,480 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:10,488 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:12,674 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:12,680 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:12,686 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:22,060 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:22,067 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:22,073 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:24,597 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:24,603 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:24,610 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,711 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,717 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,723 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,733 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,739 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,747 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,754 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,763 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,772 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:32,782 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,292 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,297 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,307 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,314 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,319 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,328 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,342 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,350 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,357 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:35,367 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,104 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,110 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,121 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,129 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,138 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,145 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,158 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,168 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,177 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,187 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,192 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,202 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,208 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,217 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,225 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,232 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
2024-06-17 15:50:43,240 - Action: 0, Context: [1, 1, 1, 1], Reward: 0
